,concept_1,concept_2,colexification_count,age_acquisition_diff
359,BEAM,SQUARE,1,144.0
360,BEAM,STABLE,1,102.0
361,BEAM,TEAR (SHRED),1,130.0
362,BEAM,VICTORY,1,17.0
363,BEAM,WILLOW,1,8.0
364,BEAM,WOOD,7,125.0
365,BEAM,WORM,1,141.0
366,BED,BIRD,1,37.0
367,BED,BLANKET,2,42.0
368,BED,BOWL,1,87.0
369,BED,BRAIN,2,178.0
370,BED,BRIDGE,9,120.0
371,BED,CHEEK,1,98.0
372,BED,COPPER,1,259.0
373,BED,DOG,1,0.0
374,BED,EGG,1,17.0
375,BED,HIDE,3,87.0
376,BED,HIDE (CONCEAL),2,87.0
377,BED,IRON,1,112.0
378,BED,ISLAND,1,120.0
379,BED,KNEE,1,62.0
380,BED,MOUSE,1,73.0
381,BED,PLACE (POSITION),4,100.0
382,BED,RUG,1,64.0
383,BED,SALT,1,64.0
384,BED,SCHOOL,1,59.0
385,BED,SCRATCH,1,100.0
386,BED,VILLAGE,1,148.0
387,BED,WALK,1,37.0
388,BED,WOUND,1,203.0
389,BEEHIVE,CANOE,1,50.0
390,BEEHIVE,DOOR,1,130.0
391,BEEHIVE,FAT (ORGANIC SUBSTANCE),1,108.0
392,BEEHIVE,HONEY,3,58.0
393,BEEHIVE,OIL (ORGANIC SUBSTANCE),1,41.0
394,BEEHIVE,PRISONER,1,17.0
395,BEEHIVE,SAP,1,120.0
396,BEGGAR,RUG,1,131.0
397,BEGINNING,CAUSE,3,97.0
398,BERRY,GRAPE,6,8.0
399,BEVERAGE,COVER,1,78.0
400,BEVERAGE,DRINK,10,0.0
401,BEVERAGE,MONEY,1,36.0
402,BEVERAGE,PEPPER,1,58.0
403,BEVERAGE,PIG,1,22.0
404,BEVERAGE,SAP,8,253.0
405,BEVERAGE,SERVANT,1,195.0
406,BEVERAGE,WAIST,1,114.0
407,BEVERAGE,WATER,29,58.0
408,BEVERAGE,WINE,5,192.0
409,BEVERAGE,YEAR,1,58.0
410,BILL,BLAME,1,78.0
411,BILL,TAX,1,63.0
412,BIRD,BITE,2,8.0
413,BIRD,BLOOD,3,47.0
414,BIRD,CATTLE,3,55.0
415,BIRD,CHICKEN,41,44.0
416,BIRD,CROW,1,102.0
417,BIRD,DARKNESS,1,36.0
418,BIRD,DOG,2,37.0
419,BIRD,DUCK,3,42.0
420,BIRD,EARTH (SOIL),2,111.0
421,BIRD,EARTH (WET SUBSTANCE),1,111.0
422,BIRD,EGG,1,20.0
423,BIRD,EYE,1,39.0
424,BIRD,FAT (ORGANIC SUBSTANCE),1,30.0
425,BIRD,FIGHT,2,55.0
426,BIRD,FIREWOOD,1,125.0
427,BIRD,FLESH,2,205.0
428,BIRD,GRANDMOTHER,5,2.0
429,BIRD,HEN,5,13.0
430,BIRD,HOME,1,27.0
431,BIRD,INSECT,1,77.0
432,BIRD,LIFT,1,105.0
433,BIRD,LIGHTNING,1,125.0
434,BIRD,LIME (MATERIAL),1,172.0
435,BIRD,MOTHER,1,62.0
436,BIRD,MOUNTAIN,1,77.0
437,BIRD,OMEN,1,352.0
438,BIRD,POISON,1,158.0
439,BIRD,RAIN (PRECIPITATION),2,5.0
440,BIRD,SALT,4,27.0
441,BIRD,SINK (DESCEND),1,13.0
442,BIRD,SNAKE,3,83.0
443,BIRD,SONG,3,36.0
444,BIRD,SUN,1,25.0
445,BIRD,VOICE,1,69.0
446,BIRD,WASH,1,20.0
447,BIRD,WOOD,2,63.0
448,BIRD,YEAR,1,63.0
449,BITE,BLOOD,1,39.0
450,BITE,BOAST,1,164.0
451,BITE,BOX,1,22.0
452,BITE,BURN,2,3.0
453,BITE,BURN (SOMETHING),2,3.0
454,BITE,CALL,2,11.0
455,BITE,CHOP,2,103.0
456,BITE,CHOP (INTO PIECES),1,103.0
457,BITE,CLOSE (EYES),1,69.0
458,BITE,COLD,1,31.0
459,BITE,COVER,1,75.0
460,BITE,DOG,2,45.0
461,BITE,DRINK,8,3.0
462,BITE,EDGE,1,94.0
463,BITE,EMBRACE,1,278.0
464,BITE,FAT (OBESE),1,22.0
465,BITE,FIGHT,3,47.0
466,BITE,FINISH,2,86.0
467,BITE,FOREST,1,83.0
468,BITE,FORK,1,11.0
469,BITE,FROG,1,44.0
470,BITE,FRUIT,2,5.0
471,BITE,GROAN,1,128.0
472,BITE,HARVEST,1,108.0
473,BITE,HEART,3,67.0
474,BITE,HIDE (CONCEAL),1,42.0
475,BITE,HOLD,2,53.0
476,BITE,HURT (SOMEBODY),1,5.0
477,BITE,ICE,1,47.0
478,BITE,INCREASE,1,205.0
479,BITE,JAW,1,147.0
480,BITE,JUMP,1,8.0
481,BITE,KICK,1,14.0
482,BITE,LOOK,1,11.0
483,BITE,MEDICINE,1,97.0
484,BITE,PASTURE,1,172.0
485,BITE,PILLOW,1,3.0
486,BITE,POUND,1,94.0
487,BITE,RAIN (PRECIPITATION),2,3.0
488,BITE,REFUSE,1,180.0
489,BITE,REPAIR,1,161.0
490,BITE,SCRATCH,2,55.0
491,BITE,SHIVER,1,94.0
492,BITE,SHOP,1,22.0
493,BITE,SLAVE,2,172.0
494,BITE,SPLIT,2,167.0
495,BITE,STING,8,47.0
496,BITE,STOVE,1,83.0
497,BITE,STRAIN,1,208.0
498,BITE,SUN,2,33.0
499,BITE,SWEEP,1,67.0
500,BITE,SWELL,1,214.0
501,BITE,TEAR (SHRED),3,50.0
502,BITE,THROW,1,50.0
503,BITE,TRY,3,15.0
504,BITE,TURN,1,19.0
505,BITE,TURN (SOMETHING),1,19.0
506,BITE,VILLAGE,6,103.0
507,BITE,WALK,4,8.0
508,BITE,WASH,4,28.0
509,BITE,YEAR,9,55.0
510,BLAME,CAUSE,1,80.0
511,BLAME,CRIME,2,55.0
512,BLAME,CURSE,1,122.0
513,BLAME,GUESS,1,36.0
514,BLAME,HIDE (CONCEAL),1,72.0
515,BLAME,PUNISHMENT,2,14.0
