Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
270,AXE,DARKNESS,1,69.0,0.0,0.2897054851055145
271,AXE,EDGE,1,3.0,1.0,0.2671544849872589
272,AXE,EYE,1,144.0,0.0,0.38648733496665955
273,AXE,FACE,2,145.0,0.0,0.3015536367893219
274,AXE,FLESH,1,100.0,0.0,0.33855050802230835
275,AXE,FROG,1,53.0,0.0,0.23500750958919525
276,AXE,FROST,1,47.0,0.0,0.21539193391799927
277,AXE,GRAPE,2,14.0,0.0,0.29967930912971497
278,AXE,HAMMER,3,33.0,2.0,0.30548861622810364
279,AXE,HEAD,2,130.0,1.0,0.3058680593967438
280,AXE,HEART,1,30.0,0.0,0.22868798673152924
281,AXE,IRON,4,30.0,2.0,0.28550925850868225
282,AXE,NIGHT,1,89.0,0.0,0.2351551353931427
283,AXE,OX,1,18.0,0.0,0.22595731914043427
284,AXE,PIG,2,78.0,0.0,0.19047392904758453
285,AXE,POND,1,72.0,0.0,0.1635441780090332
286,AXE,POT,1,94.0,0.0,0.2718917429447174
287,AXE,POUND,2,3.0,0.0,0.18684840202331543
288,AXE,SAW,15,42.0,2.0,0.29227501153945923
289,AXE,SWORD,4,31.0,1.0,0.31245487928390503
290,AXE,WORM,1,58.0,0.0,0.11769522726535797
292,BACK,BITE,1,11.0,0.0,0.3714252710342407
293,BACK,BODY,1,42.0,5.0,0.4295028746128082
294,BACK,BUNCH,1,92.0,0.0,0.5235183835029602
295,BACK,CIRCLE,1,11.0,0.0,0.38970836997032166
296,BACK,CLOTHES,1,31.0,0.0,0.5973339080810547
297,BACK,ELBOW,1,12.0,0.0,0.6514069437980652
298,BACK,HEAD,1,44.0,0.0,0.5752878785133362
299,BACK,HEART,1,56.0,0.0,0.454604834318161
300,BACK,HILL,2,31.0,0.0,0.5396431684494019
301,BACK,KNEE,2,6.0,0.0,0.6176398992538452
302,BACK,LIVER,1,128.0,0.0,0.5388217568397522
303,BACK,MOTHER,3,81.0,0.0,0.37702643871307373
304,BACK,NOSE,1,19.0,0.0,0.5482972860336304
306,BACK,ROPE,1,56.0,0.0,0.35931912064552307
307,BACK,SAND,1,8.0,0.0,0.3683623969554901
